,city,price,beds,baths,sqft,url,address
43,South Milwaukee,"$244,900",3 beds,1 bath,"1,302 ",https://www.redfin.com/WI/South-Milwaukee/1396-James-Cir-53172/home/90269523,"1396 James Cir, Unknown, WI 53172"
44,Saint Francis,"$280,000",1 bed,1 bath,945 ,https://www.redfin.com/WI/Saint-Francis/4130-S-Lake-Dr-53235/unit-278/home/58019423,"4130 S Lake Dr #278, Saint Francis, WI 53235"
45,Saint Francis,"$319,900",3 beds,2 baths,"1,400 ",https://www.redfin.com/WI/Saint-Francis/2709-E-Whittaker-Ave-53235/home/57941309,"2709 E Whittaker Ave, Saint Francis, WI 53235"
46,South Milwaukee,"$285,000",3 beds,2 baths,"1,791 ",https://www.redfin.com/WI/South-Milwaukee/211-Nicholson-Ave-53172/home/58024472,"211 Nicholson Ave, South Milwaukee, WI 53172"
47,Saint Francis,"$375,000",1 bed,1 bath,"1,225 ",https://www.redfin.com/WI/Saint-Francis/4130-S-Lake-Dr-53235/unit-170/home/58051265,"4130 S Lake Dr #170, Saint Francis, WI 53235"
48,Saint Francis,"$309,900",3 beds,1 bath,"1,040 ",https://www.redfin.com/WI/Saint-Francis/2717-E-Bottsford-Ave-53235/home/58010470,"2717 E Bottsford Ave, Saint Francis, WI 53235"
49,Saint Francis,"$339,900",1 bed,1 bath,"1,225 ",https://www.redfin.com/WI/Saint-Francis/4110-S-Lake-Dr-53235/unit-130/home/58034724,"4110 S Lake Dr #130, Saint Francis, WI 53235"
50,St Francis,"$429,900",4 beds,2.5 baths,"3,000 ",https://www.redfin.com/WI/St-Francis/4464-S-Whitnall-Ave-53235/home/90268410,"4464 S Whitnall Ave, Saint Francis, WI 53235"
51,St Francis,"$44,700",No Data Available,No Data Available,"8,712 ",https://www.redfin.com/WI/St-Francis/1921-E-Bolivar-Ave-53235/home/187450584,"1921 E Bolivar Ave, Saint Francis, WI 53235"
52,Milwaukee,"$244,900",3 beds,1 bath,896 ,https://www.redfin.com/WI/Milwaukee/3531-S-80th-St-53220/home/57845765,"3531 S 80th St, Milwaukee, WI 53220"
53,Milwaukee,"$299,900",4 beds,1.5 baths,"1,951 ",https://www.redfin.com/WI/Milwaukee/6248-W-Warnimont-Ave-53220/home/90246806,"6248 W Warnimont Ave, Milwaukee, WI 53220"
54,Milwaukee,"$374,900",4 beds,2 baths,"1,935 ",https://www.redfin.com/WI/Milwaukee/5400-W-Cold-Spring-Rd-53220/home/57975991,"5400 W Cold Spring Rd, Greenfield, WI 53220"
